Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
8650,0.02687994210247777,0.1117386758036588,0.6337762305932673,0.3031697524857954,0.1,0.0007966904643586976,9.91393683601045,0.007950017994278228,0.08526647348912177,0.0001835459223293287,9.894597948577823,0.1054020514221779,5.504365171933729e-05,352.6234652287068,0.9723456350958279,3.032695075733503,0.09049072947510706,0.9094542268536591,88.48625898008714,7.39533143388455e-21,1.324908922482399,22.12135537991655,1.324908922482394,1.324908922482399,0.1846481374906705,27.65164170156234
8660,0.02687944066777625,0.1117386326292558,0.6337765049301602,0.3031698832795285,0.1,0.0007966755724986843,9.91393805510282,0.007950018005402737,0.08526526928858372,0.0001835433364799005,9.894597948431661,0.1054020515683411,5.50426286436442e-05,352.6300777011718,0.9723320119300849,3.03270951339091,0.09049033718035662,0.9094546201714689,88.48791799393456,7.395995198847507e-21,1.324909497908635,22.12177157634167,1.324909497908629,1.324909497908635,0.1846482177038025,27.65216230908779
8670,0.02687894239490401,0.1117385897407484,0.633776777458856,0.3031700132155538,0.1,0.000796660774256984,9.913939266202819,0.007950018016464213,0.08526407298679352,0.0001835407677261331,9.894597948286336,0.1054020517136655,5.504161229366085e-05,352.6366451350249,0.9723184798544751,3.032723854613878,0.09048994745717719,0.9094550109109835,88.48956570805787,7.396611342769162e-21,1.324910069525154,22.1221849380205,1.324910069525149,1.324910069525154,0.1846482973857125,27.65267937071767
8680,0.02687844724494832,0.111738547135238,0.6337770481980529,0.3031701423029391,0.1,0.0007966460684684908,9.913940469393825,0.007950018027463762,0.08526288450154154,0.000183538215895741,9.894597948141836,0.1054020518581652,5.504060259921554e-05,352.6431679138213,0.9723050379933272,3.032738100333227,0.09048956027833603,0.9094553990995055,88.4912022186911,7.397178268228431e-21,1.324910637370584,22.12259548909567,1.324910637370579,1.324910637370584,0.1846483765417796,27.65319291665137
8690,0.02687795517899648,0.1117385048098258,0.6337773171664496,0.3031702705507526,0.1,0.0007966314539680984,9.913941664759212,0.007950018038402487,0.08526170375061815,0.0001835356808164384,9.894597947998147,0.1054020520018544,5.503959949013661e-05,352.6496464211164,0.9722916854709699,3.032752251479775,0.09048917561660043,0.9094557847643381,88.49282762206832,7.397694377804237e-21,1.324911201483549,22.12300325370981,1.324911201483544,1.324911201483549,0.1846484551773824,27.65370297708827
8700,0.02687746615813575,0.1117384627616134,0.6337775843827443,0.3031703979680624,0.1,0.0007966169295907011,9.913942852382354,0.007950018049281495,0.08526053065181367,0.0001835331623159396,9.894597947855255,0.1054020521447472,5.503860289625236e-05,352.6560810404657,0.9722784214117317,3.032766308984342,0.09048879344473768,0.9094561679327839,88.49444201442357,7.398158074075497e-21,1.324911761902674,22.12340825600556,1.32491176190267,1.324911761902674,0.1846485332979,27.65420958222775
8710,0.02687698014345343,0.1117384209877021,0.633777849865636,0.3031705245639364,0.1,0.0007966024941711925,9.913944032346624,0.007950018060101894,0.0852593651229185,0.0001835306602219589,9.894597947713144,0.1054020522868579,5.503761274739108e-05,352.6624721554245,0.9722652449399414,3.032780273777748,0.09048841373551507,0.9094565486321463,88.4960454919909,7.398567759621132e-21,1.324912318666587,22.12381052012555,1.324912318666583,1.324912318666587,0.184648610908711,27.6547127622692
8720,0.0268764970960368,0.1117383794851933,0.633778113633823,0.3031706503474428,0.1,0.0007965881465444669,9.913945204735398,0.007950018070864786,0.08525820708172296,0.0001835281743622106,9.894597947571802,0.1054020524282005,5.503662897338112e-05,352.6688201495481,0.9722521551799276,3.032794146790812,0.09048803646169987,0.9094569268897279,88.49763815100437,7.398921837020058e-21,1.324912871813912,22.12421007021242,1.324912871813908,1.324912871813912,0.1846486880151945,27.655212547412
8730,0.02687601697697313,0.1117383382511883,0.6337783757060036,0.3031707753276495,0.1,0.000796573885545418,9.913946369632052,0.007950018081571277,0.08525705644601744,0.000183525704564409,9.894597947431214,0.1054020525687892,5.503565150405077e-05,352.6751254063921,0.9722391512560189,3.032807928954354,0.09048766159605938,0.9094573027328317,88.49922008769802,7.399218708851199e-21,1.324913421383275,22.1246069304088,1.324913421383272,1.324913421383275,0.1846487646227293,27.65570896785553
8740,0.02687553974734972,0.1117382972827885,0.6337786361008767,0.3031708995136246,0.1,0.0007965597100089399,9.91394752711996,0.007950018092222474,0.08525591313359226,0.0001835232506562685,9.894597947291365,0.1054020527086382,5.503468026922834e-05,352.6813883095116,0.972226232292544,3.032821621199192,0.09048728911136089,0.9094576761887605,88.50079139830591,7.399456777693472e-21,1.324913967413301,22.12500112485733,1.324913967413298,1.324913967413301,0.1846488407366942,27.65620205379918
